"year","month","day","wday","mid_load","target_residuals","lm_pred","index","lstm","arima_lstm","stoch","full_model","res_full_model"
2019,7,"WD","Mo",-1997.14315068493,196.89045502001,-2194.03360570494,2386,82.31612,293.346705438589,211.030585438589,-1983.00302026635,-14.140130418579
2019,7,"WD","Di",-1916.22648401827,200.052914511431,-2116.2793985297,2387,64.83446,275.557436390315,210.722976390315,-1905.55642213939,-10.6700618788848
2019,7,"WD","Mi",-1797.01815068493,206.402658760663,-2003.42080944559,2388,62.81384,275.49412463035,212.68028463035,-1790.74052481524,-6.27762586969016
2019,7,"WD","Do",-1817.60148401827,218.946923832802,-2036.54840785107,2389,98.04277,310.843074123169,212.800304123169,-1823.7481037279,6.1466197096313
2019,7,"WD","Fr",-1716.60148401827,166.133468930993,-1882.73495294926,2390,128.76195,339.654269016995,210.892319016995,-1671.84263393227,-44.7588500860049
2019,7,"WE","Sa",-2073.14315068493,264.409794795483,-2337.55294548041,2391,156.04012,366.989746568686,210.949626568686,-2126.60331891172,53.4601682267944
2019,7,"WE","So",-2524.14315068493,173.66869187986,-2697.81184256479,2392,162.66408,375.457749349791,212.793669349791,-2485.018173215,-39.1249774699313
2019,7,"WD","Mo",-1419.01815068493,95.2144585960802,-1514.23260928101,2393,185.55096,398.121271782054,212.570311782054,-1301.66229749896,-117.355853185974
2019,7,"WD","Di",-1404.35148401827,-4.83055971931731,-1399.52092429895,2394,154.4978,365.301154296884,210.803354296884,-1188.71757000207,-215.633914016204
2019,7,"WD","Mi",-1496.22648401827,-42.8899760033569,-1453.33650801491,2395,140.56363,351.744265902082,211.180635902082,-1242.15587211283,-254.070611905442
2019,7,"WD","Do",-1424.47648401827,130.071890964875,-1554.54837498315,2396,150.7956,363.654473160451,212.858873160451,-1341.6895018227,-82.7869821955712
2019,7,"WD","Fr",-1488.51815068493,183.26883898946,-1671.78698967439,2397,168.80124,381.141719079526,212.340479079526,-1459.44651059486,-29.071640090066
2019,7,"WE","Sa",-1940.97648401827,215.879584883657,-2156.85606890193,2398,185.71954,396.480612965485,210.761072965485,-1946.09499593645,5.11851191817527
2019,7,"WE","So",-2188.5598173516,335.762388038727,-2524.32220539033,2399,183.43646,394.843702169476,211.407242169476,-2312.91496322085,124.355145869254
2019,7,"WD","Mo",-1053.6848173516,188.075604377694,-1241.76042172929,2400,205.79779,418.677021175067,212.879231175067,-1028.88119055422,-24.8036267973769
2019,7,"WD","Di",-980.893150684933,58.3444966707931,-1039.23764735573,2401,167.83994,379.958935032181,212.118995032181,-827.118652323549,-153.774498361384
2019,7,"WD","Mi",-1280.51815068493,-155.070645558536,-1125.44750512639,2402,135.35722,346.118717336438,210.761497336438,-914.686007789952,-365.832142894978
2019,8,"WD","Do",-1726.01815068493,67.7298655973771,-1793.74801628231,2403,142.01994,502.280699572843,360.260759572843,-1433.48725670947,-292.530893975463
2019,8,"WD","Fr",-1829.26815068493,280.417848328005,-2109.68599901294,2404,157.22545,518.723627176863,361.498177176863,-1748.18782183608,-81.0803288488535
2019,8,"WE","Sa",-2256.1848173516,679.540092447319,-2935.72490979892,2405,196.73763,557.289307070789,360.551677070789,-2575.17323272813,318.988415376531
2019,8,"WE","So",-2889.6848173516,753.10099522863,-3642.78581258023,2406,210.19916,569.637641376244,359.438481376244,-3283.34733120399,393.662513852386
2019,8,"WD","Mo",-2174.9348173516,386.584388462646,-2561.51920581425,2407,209.63043,570.087582970745,360.457152970745,-2201.0620528435,26.1272354919047
2019,8,"WD","Di",-2095.5598173516,166.914791258159,-2262.47460860976,2408,174.32808,535.771462423635,361.443382423635,-1901.03122618612,-194.528591165476
2019,8,"WD","Mi",-1712.22648401827,103.006955858413,-1815.23343987668,2409,139.90858,500.274895098448,360.366315098448,-1454.86712477823,-257.359359240038
2019,8,"WD","Do",-1489.47648401827,366.558149421851,-1856.03463344012,2410,132.59775,492.106208110752,359.508458110752,-1496.52617532937,7.0496913110976
2019,8,"WD","Fr",-1516.0598173516,223.218402314557,-1739.27821966616,2411,133.47304,494.10348145121,360.63044145121,-1378.64777821495,-137.41203913665
2019,8,"WE","Sa",-2139.97648401827,212.481786404927,-2352.4582704232,2412,201.40555,562.765339731453,361.359789731453,-1991.09848069175,-148.878003326523
2019,8,"WE","So",-2539.5598173516,379.770934153856,-2919.33075150546,2413,216.84644,577.052407588449,360.205967588449,-2559.12478391701,19.5649665654109
2019,8,"WD","Mo",-1409.4348173516,352.635508116167,-1762.07032546777,2414,171.8254,531.429469995304,359.604069995304,-1402.46625547247,-6.96856187913409
2019,8,"WD","Di",-799.268150684933,696.04026811795,-1495.30841880288,2415,147.9523,508.729452523723,360.777152523723,-1134.53126627916,335.263115594224
2019,8,"WD","Mi",-778.351484018267,570.348509710831,-1348.6999937291,2416,103.07714,464.330909561703,361.253769561703,-987.446224167397,209.09474014913
2019,8,"WD","Do",-924.351484018267,507.867890108297,-1432.21937412656,2417,83.912155,443.985575416377,360.073420416377,-1072.14595371018,147.794469691916
2019,8,"WD","Fr",-1366.14315068493,326.894098464052,-1693.03724914898,2418,85.10458,444.823469125416,359.718889125416,-1333.31836002356,-32.8247906613663
2019,8,"WE","Sa",-2075.3098173516,638.418590157919,-2713.72840750952,2419,181.71768,542.612851021356,360.895171021356,-2352.83323648816,277.523419136563
2019,8,"WE","So",-2612.22648401827,545.859607762541,-3158.08609178081,2420,209.04848,570.180224457204,361.131744457204,-2796.95434732361,184.727863305336
2019,8,"WD","Mo",-1844.76815068493,162.262591254294,-2007.03074193922,2421,136.08223,496.052369172624,359.970139172624,-1647.0606027666,-197.707547918334
2019,8,"WD","Di",-1270.26815068493,395.491815478034,-1665.75996616296,2422,125.90762,485.754177268497,359.846557268497,-1305.91340889446,35.6452582095328
2019,8,"WD","Mi",-1006.1848173516,389.731944423439,-1395.91676177504,2423,88.14323,449.126885084064,360.983655084064,-1034.93310669098,28.7482893393753
2019,8,"WD","Do",-1054.72648401827,281.797962214858,-1336.52444623313,2424,70.45834,431.458293558268,360.999953558268,-975.524492674862,-79.2019913434078
2019,8,"WD","Fr",-1294.5598173516,106.642514184147,-1401.20233153575,2425,65.82287,425.719242022888,359.896372022888,-1041.30595951286,-253.253857838738
2019,8,"WE","Sa",-2054.64315068493,68.8421543201789,-2123.48530500511,2426,156.5723,516.553304739019,359.981004739019,-1763.50430026609,-291.138850418839
2019,8,"WE","So",-2404.9348173516,331.720328738951,-2736.65514609055,2427,182.54414,543.58705654584,361.04291654584,-2375.61222954471,-29.3225878068902
2019,8,"HD","Mo",-1915.1848173516,921.096027031208,-2836.28084438281,2428,216.5219,577.386151349596,360.864251349596,-2475.41659303321,560.231775681613
2019,8,"WD","Di",-1377.47648401827,200.234956727468,-1577.71144074574,2429,82.37929,442.230573954071,359.851283954071,-1217.86015679167,-159.616327226601
2019,8,"WD","Mi",-1509.26815068493,65.845026291712,-1575.11317697664,2430,69.16431,429.280943240305,360.116633240305,-1214.99654373633,-294.271606948595
2019,8,"WD","Do",-1400.76815068493,337.790158896573,-1738.5583095815,2431,68.68522,429.759494181659,361.074274181659,-1377.48403539984,-23.2841152850888
2019,8,"WD","Fr",-1473.89315068493,282.259938402561,-1756.15308908749,2432,78.923164,439.653107801311,360.729943801311,-1395.42314528618,-78.470005398751
2019,8,"WE","Sa",-2030.1848173516,388.000694201716,-2418.18551155332,2433,177.96886,537.801973922021,359.833113922021,-2058.3523976313,28.1675802796985
2019,9,"WE","So",-2454.9348173516,324.307473208943,-2779.24229056054,2434,210.63744,621.545575459113,410.908135459113,-2368.33415510143,-86.6006622501727
2019,9,"WD","Mo",-1604.60148401827,-63.666030449376,-1540.93545356889,2435,125.627205,537.3667683255,411.7395633255,-1129.19589024339,-475.40559377488
2019,9,"WD","Di",-1423.35148401827,21.1247276670031,-1444.47621168527,2436,128.98975,540.25108844026,411.26133844026,-1033.21487324501,-390.136610773259
2019,9,"WD","Mi",-1665.01815068493,64.772510500502,-1729.79066118543,2437,128.5688,539.067821677049,410.499021677049,-1319.29163950838,-345.726511176549
2019,9,"WD","Do",-1794.22648401827,26.2196011318913,-1820.44608515016,2438,150.81198,561.843880276912,411.031900276912,-1409.41418487325,-384.812299145022
2019,9,"WD","Fr",-1810.39315068493,284.179322265515,-2094.57247295045,2439,202.72952,614.451779487081,411.722259487081,-1682.85021346337,-127.542937221561
2019,9,"WE","Sa",-2188.22648401827,398.259844385419,-2586.48632840369,2440,367.84952,778.992477768497,411.142957768497,-2175.34337063519,-12.8831133830777
2019,9,"WE","So",-2621.9348173516,442.01469986216,-3063.94951721376,2441,424.9448,835.471365937307,410.526565937307,-2653.42295127645,31.4881339248527
2019,9,"WD","Mo",-1876.01815068493,105.975150691605,-1981.99330137654,2442,288.1645,699.308630612995,411.144130612995,-1570.84917076355,-305.168979921385
2019,9,"WD","Di",-1673.85148401827,341.052201134712,-2014.90368515298,2443,293.2943,704.979649702439,411.68534970244,-1603.21833545054,-70.6331485677294
2019,9,"WD","Mi",-2004.51815068493,-84.6731253112728,-1919.84502537366,2444,288.92886,699.966400756142,411.037540756142,-1508.80748461752,-495.710666067412
2019,9,"WD","Do",-1659.72648401827,279.800528448991,-1939.52701246726,2445,300.68927,711.261202943849,410.571932943849,-1528.95507952341,-130.771404494859
2019,9,"WD","Fr",-1725.8098173516,228.390206091196,-1954.2000234428,2446,359.31805,770.560224378623,411.242174378623,-1542.95784906418,-182.851968287423
2019,9,"WE","Sa",-2316.6848173516,573.418502738306,-2890.10332008991,2447,554.0951,965.727556774055,411.632456774055,-2478.47086331586,161.786045964255
2019,9,"WE","So",-3058.3098173516,263.783833394838,-3322.09365074644,2448,605.29297,1016.24029817464,410.947328174645,-2911.1463225718,-147.163494779805
2019,9,"WD","Mo",-2124.51815068493,334.369315335844,-2458.88746602077,2449,380.27725,790.908657485326,410.631407485326,-2048.25605853544,-76.2620921494868
2019,9,"WD","Di",-1768.22648401827,206.20253552515,-1974.42901954342,2450,293.59143,704.915627868932,411.324197868932,-1563.10482167449,-205.121662343782
2019,9,"WD","Mi",-1700.22648401827,159.953384938658,-1860.17986895693,2451,195.488,607.055348433437,411.567348433437,-1448.61252052349,-251.613963494777
2019,9,"WD","Do",-1659.4348173516,-151.723652379309,-1507.71116497229,2452,147.66147,558.535224412152,410.873754412152,-1096.83741056014,-562.597406791462
2019,9,"WD","Fr",-1219.14315068493,-128.945657375458,-1090.19749330947,2453,152.90443,563.605637265746,410.701207265746,-679.496286043724,-539.646864641206
2019,9,"WE","Sa",-1879.39315068493,-309.452834086693,-1569.94031659824,2454,288.87595,700.265105047072,411.389155047072,-1158.55116155117,-720.841989133762
2019,9,"WE","So",-2100.89315068493,255.011996938432,-2355.90514762336,2455,315.0778,726.571585751535,411.493785751535,-1944.41136187183,-156.481788813105
2019,9,"WD","Mo",-1067.3098173516,-71.0622984655619,-996.247518886038,2456,25.350342,436.16783303909,410.81749103909,-585.430027846948,-481.879789504652
2019,9,"WD","Di",-985.268150684933,259.260902852126,-1244.52905353706,2457,-210.6535,200.124125863575,410.777625863575,-833.751427673485,-151.516723011448
2019,9,"WD","Mi",-894.143150684933,129.919518644141,-1024.06266932907,2458,-386.48105,24.9556823098128,411.436732309813,-612.625937019257,-281.517213665676
2019,9,"WD","Do",-629.643150684933,415.870034963542,-1045.51318564847,2459,-404.02118,7.39420960637136,411.415389606371,-634.097796042099,4.45464535716565
2019,9,"WD","Fr",-768.518150684933,535.241737793407,-1303.75988847834,2460,-339.7627,71.0158124943421,410.778512494342,-892.981375983998,124.463225299065
2019,9,"WE","Sa",-1491.14315068493,662.873950219403,-2154.01710090433,2461,-141.33261,269.524546176363,410.857156176363,-1743.15994472797,252.016794043037
2019,9,"WE","So",-1895.6848173516,827.157098562011,-2722.84191591361,2462,-45.58551,365.8817635893,411.4672735893,-2311.37464232431,415.689824972711
2019,9,"WD","Mo",-1233.3098173516,715.835344562323,-1949.14516191392,2463,-219.37717,191.958357853994,411.335527853994,-1537.80963405993,304.499816708326
2019,10,"WD","Di",-1353.01815068493,-297.257646847989,-1055.76050383694,2464,-322.03683,-249.133529630212,72.9033003697882,-982.857203467152,-370.160947217778
2019,10,"WD","Mi",-1714.85148401827,-446.432903604057,-1268.41858041421,2465,-358.93805,-285.854336339824,73.0837136601761,-1195.33486675403,-519.516617264236
2019,10,"WD","Do",-1217.39315068493,-182.419922880101,-1034.97322780483,2466,-281.13342,-207.504607798972,73.6288122010277,-961.344415603802,-256.048735081128
2019,10,"WD","Fr",-830.893150684933,170.077153652838,-1000.97030433777,2467,-234.66696,-161.262613777775,73.4043462222247,-927.565958115545,96.6728074306124
2019,10,"WE","Sa",-1159.1848173516,171.718381067855,-1330.90319841945,2468,-117.154366,-44.257913227717,72.896452772283,-1258.00674564717,98.821928295567
2019,10,"WE","So",-1309.6848173516,3.83247528543279,-1313.51729263703,2469,-90.58985,-17.4296202726188,73.1602297273812,-1240.35706290965,-69.3277544419511
2019,10,"WD","Mo",200.398515981735,-48.7246565644866,249.123172546222,2470,-214.42172,-140.793234180594,73.6284858194057,322.751658365628,-122.353142383893
2019,10,"WD","Di",321.065182648399,-325.280621087176,646.345803735575,2471,-201.90086,-128.570645003947,73.3302149960535,719.676018731628,-398.610836083229
2019,10,"WD","Mi",725.356849315067,178.252435485323,547.104413829744,2472,-175.1736,-102.270084708005,72.9035152919946,620.007929121739,105.348920193328
2019,10,"WD","Do",253.940182648399,54.9508204184867,198.989362229912,2473,-84.779755,-11.5483184934583,73.2314365065417,272.220798736454,-18.2806160880547
2019,10,"WD","Fr",78.3985159817348,219.729036897044,-141.330520915309,2474,-6.1340103,67.4811503319482,73.6151606319482,-67.7153602833608,146.113876265096
2019,10,"WE","Sa",-991.226484018267,249.338098373733,-1240.564582392,2475,107.19368,180.456092573637,73.2624125736372,-1167.30216981836,176.075685800096
2019,10,"WE","So",-1717.89315068493,66.7377489272212,-1784.63089961215,2476,156.40877,229.331370576759,72.9226005767595,-1711.70829903539,-6.1848516495395
2019,10,"HD","Mo",-1808.6848173516,217.381333813859,-2026.06615116546,2477,122.441414,195.736829169496,73.2954151694964,-1952.77073599596,144.085918644364
2019,10,"WD","Di",-888.059817351599,121.4339892149,-1009.4938065665,2478,72.228,145.818840518381,73.5908405183815,-935.902966048119,47.8431486965195
2019,10,"WD","Mi",-881.143150684933,54.413610230781,-935.556760915714,2479,119.989136,193.191752362633,73.2026163626328,-862.354144553081,-18.7890061318518
2019,10,"WD","Do",-895.643150684933,68.4489387499096,-964.092089434843,2480,195.50375,268.455363776024,72.9516137760242,-891.140475658819,-4.50267502611405
2019,10,"WD","Fr",-950.434817351599,33.6196426853722,-984.054460036971,2481,236.873,310.223730576892,73.3507305768922,-910.703729460079,-39.7310878915201
